ID,utility_payment_regularity,avg_monthly_utility_spend,mobile_recharge_pattern,household_deprivation_score,housing_type,asset_ownership_count,household_size_to_earners_ratio,primary_income_source
65,Regular,1377,Weekly,11.4,Pucca,7,1.1,Salaried
66,Irregular,1206,Monthly,34.2,Kutcha,4,1.8,Agriculture
67,Regular,1457,Bi-weekly,17.0,Semi-pucca,9,1.4,Business
68,Irregular,403,Monthly,80.1,Semi-pucca,2,1.7,Daily Wage
69,Regular,1013,Monthly,13.2,Pucca,8,1.0,Salaried
70,Defaulted,1314,Monthly,12.5,Pucca,7,2.0,Salaried
71,Regular,867,Ad-hoc,33.7,Semi-pucca,7,2.0,Business
72,Regular,1442,Monthly,3.4,Pucca,10,1.5,Business
73,Regular,915,Bi-weekly,15.9,Semi-pucca,9,1.7,Business
74,Regular,1264,Weekly,26.2,Semi-pucca,6,1.3,Salaried
75,Regular,1147,Weekly,24.9,Pucca,8,1.3,Salaried
76,Irregular,1055,Weekly,6.9,Semi-pucca,8,1.1,Salaried
77,Irregular,937,Monthly,46.0,Pucca,7,3.0,Agriculture
78,Irregular,817,Ad-hoc,54.1,Semi-pucca,5,2.3,Agriculture
79,Regular,1186,Monthly,26.1,Pucca,5,1.2,Salaried
80,Regular,1437,Weekly,6.8,Pucca,9,1.5,Salaried
81,Regular,1010,Bi-weekly,4.7,Semi-pucca,10,1.5,Salaried
82,Regular,1194,Bi-weekly,12.7,Pucca,8,1.0,Business
83,Irregular,1028,Bi-weekly,32.7,Semi-pucca,6,1.5,Agriculture
84,Regular,1227,Monthly,11.9,Pucca,7,2.0,Salaried
85,Irregular,1232,Bi-weekly,10.8,Pucca,10,1.0,Salaried
86,Irregular,1190,Monthly,32.5,Pucca,6,1.8,Daily Wage
87,Regular,916,Monthly,21.9,Pucca,5,1.3,Salaried
88,Irregular,1023,Ad-hoc,30.5,Pucca,7,1.3,Business
89,Regular,926,Monthly,40.4,Pucca,7,2.0,Daily Wage
90,Irregular,1182,Bi-weekly,18.4,Pucca,8,1.3,Salaried
91,Regular,1005,Bi-weekly,23.4,Pucca,10,1.5,Salaried
92,Regular,1507,Weekly,17.5,Semi-pucca,9,1.3,Salaried
93,Regular,1242,Monthly,26.7,Pucca,8,1.5,Business
94,Regular,1447,Monthly,23.9,Semi-pucca,7,1.6,Salaried
95,Regular,1131,Ad-hoc,32.6,Pucca,7,1.5,Daily Wage
96,Irregular,1018,Ad-hoc,44.3,Semi-pucca,5,1.5,Daily Wage
97,Regular,975,Ad-hoc,38.6,Pucca,6,1.8,Daily Wage
98,Regular,1513,Weekly,9.6,Pucca,10,1.0,Business
99,Regular,1249,Monthly,20.9,Pucca,7,1.7,Business
100,Regular,1190,Bi-weekly,16.6,Pucca,7,1.6,Business
101,Regular,1408,Weekly,22.7,Pucca,6,1.3,Salaried
102,Regular,694,Ad-hoc,47.6,Pucca,8,1.7,Daily Wage
103,Regular,1170,Bi-weekly,11.6,Semi-pucca,9,1.8,Business
104,Regular,1604,Weekly,17.2,Pucca,9,1.5,Business
105,Regular,1228,Bi-weekly,24.1,Pucca,6,2.0,Pension
106,Regular,815,Bi-weekly,19.7,Pucca,9,1.5,Salaried
107,Regular,1372,Bi-weekly,15.5,Semi-pucca,8,1.2,Salaried
108,Irregular,924,Bi-weekly,30.2,Pucca,7,1.6,Agriculture
109,Irregular,1030,Bi-weekly,26.3,Pucca,6,1.3,Salaried
110,Regular,1560,Bi-weekly,17.8,Pucca,8,1.5,Salaried
111,Regular,1553,Monthly,7.1,Pucca,9,1.0,Business
112,Regular,1274,Ad-hoc,36.8,Semi-pucca,5,1.4,Agriculture
113,Irregular,1133,Monthly,16.5,Semi-pucca,9,1.2,Business
114,Irregular,648,Monthly,64.6,Pucca,2,1.5,Daily Wage
115,Regular,877,Ad-hoc,50.3,Pucca,6,2.0,Agriculture
116,Regular,1072,Bi-weekly,40.9,Pucca,7,2.0,Agriculture
117,Defaulted,935,Bi-weekly,37.8,Pucca,5,1.8,Daily Wage
118,Regular,1134,Bi-weekly,48.1,Pucca,4,2.0,Daily Wage
119,Irregular,973,Ad-hoc,45.0,Pucca,5,2.0,Daily Wage
120,Irregular,1262,Bi-weekly,31.5,Pucca,7,1.5,Daily Wage
121,Irregular,910,Bi-weekly,34.6,Semi-pucca,6,1.3,Business
122,Regular,748,Monthly,53.9,Pucca,5,2.5,Daily Wage
123,Regular,1097,Ad-hoc,30.6,Semi-pucca,9,1.5,Business
124,Irregular,1175,Monthly,14.6,Pucca,8,1.5,Business
125,Irregular,1049,Monthly,45.2,Pucca,3,2.0,Daily Wage
126,Irregular,1153,Ad-hoc,36.0,Semi-pucca,7,1.5,Agriculture
127,Regular,1298,Weekly,6.2,Pucca,10,1.2,Pension
128,Irregular,1235,Weekly,23.3,Pucca,8,1.3,Salaried
129,Irregular,1474,Weekly,19.2,Pucca,7,1.0,Business
130,Irregular,974,Monthly,52.0,Kutcha,5,1.8,Agriculture
131,Regular,1249,Bi-weekly,22.0,Semi-pucca,6,1.3,Salaried
132,Regular,1429,Weekly,13.8,Pucca,9,1.4,Salaried
133,Irregular,1116,Ad-hoc,47.2,Kutcha,4,1.5,Agriculture
134,Regular,1437,Monthly,15.9,Semi-pucca,8,2.0,Salaried
135,Regular,1324,Weekly,6.0,Pucca,8,1.5,Business
136,Regular,1151,Bi-weekly,34.1,Kutcha,7,1.5,Agriculture
137,Regular,1020,Ad-hoc,30.7,Pucca,6,1.7,Agriculture
138,Regular,1085,Weekly,27.9,Pucca,7,1.7,Salaried
139,Regular,1105,Monthly,32.9,Pucca,7,1.3,Daily Wage
140,Irregular,750,Monthly,40.6,Semi-pucca,5,2.5,Agriculture
141,Defaulted,1095,Ad-hoc,32.3,Pucca,8,1.5,Agriculture
142,Regular,1103,Bi-weekly,18.1,Pucca,8,1.5,Salaried
143,Irregular,1112,Weekly,11.0,Semi-pucca,8,1.3,Business
144,Regular,1442,Weekly,6.3,Semi-pucca,10,1.2,Salaried
145,Irregular,935,Bi-weekly,38.9,Kutcha,7,1.5,Agriculture
146,Regular,1187,Weekly,22.1,Semi-pucca,8,1.6,Salaried
147,Regular,1179,Bi-weekly,17.1,Semi-pucca,10,1.4,Pension
148,Regular,1239,Bi-weekly,6.8,Pucca,10,1.8,Salaried
149,Regular,1189,Weekly,20.6,Pucca,8,1.2,Salaried
150,Defaulted,814,Monthly,35.9,Semi-pucca,7,1.4,Agriculture
151,Regular,1037,Monthly,31.7,Semi-pucca,6,1.5,Daily Wage
152,Regular,1527,Weekly,13.7,Pucca,8,1.3,Salaried
153,Regular,993,Monthly,21.7,Semi-pucca,8,1.2,Salaried
154,Regular,1449,Weekly,13.6,Pucca,9,1.3,Salaried
155,Regular,1622,Weekly,6.4,Pucca,10,1.5,Salaried
156,Regular,653,Bi-weekly,57.9,Semi-pucca,5,1.3,Agriculture
157,Regular,1261,Bi-weekly,16.7,Pucca,9,1.5,Business
158,Irregular,683,Ad-hoc,48.6,Pucca,4,1.5,Business
159,Regular,951,Weekly,22.3,Pucca,7,1.3,Salaried
160,Irregular,1012,Monthly,37.3,Pucca,6,1.6,Daily Wage
161,Regular,1032,Bi-weekly,38.7,Semi-pucca,6,2.0,Business
162,Regular,1000,Bi-weekly,29.1,Pucca,8,1.3,Business
163,Defaulted,847,Ad-hoc,35.8,Semi-pucca,5,1.5,Daily Wage
164,Irregular,884,Ad-hoc,36.9,Pucca,6,1.7,Daily Wage
165,Regular,1047,Monthly,43.4,Kutcha,7,1.7,Agriculture
166,Irregular,1460,Monthly,5.9,Pucca,9,1.4,Salaried
167,Regular,1320,Weekly,15.4,Pucca,9,1.5,Salaried
168,Regular,585,Ad-hoc,69.1,Kutcha,3,2.5,Agriculture
169,Regular,1195,Bi-weekly,4.9,Pucca,10,1.5,Salaried
170,Irregular,1379,Bi-weekly,18.6,Semi-pucca,8,1.4,Salaried
171,Regular,1331,Weekly,27.2,Pucca,8,3.0,Business
172,Irregular,972,Monthly,32.2,Pucca,5,1.5,Daily Wage
173,Irregular,847,Bi-weekly,48.2,Pucca,5,2.0,Daily Wage
174,Irregular,842,Monthly,32.0,Semi-pucca,7,1.4,Agriculture
175,Irregular,933,Ad-hoc,49.2,Semi-pucca,6,1.3,Agriculture
176,Regular,1488,Weekly,18.4,Pucca,10,1.2,Salaried
177,Regular,1499,Bi-weekly,2.9,Pucca,9,1.2,Pension
178,Irregular,1227,Ad-hoc,43.8,Kutcha,7,1.0,Agriculture
179,Regular,1103,Weekly,22.0,Pucca,7,1.4,Salaried
180,Regular,1076,Weekly,12.7,Semi-pucca,10,1.4,Business
181,Irregular,992,Ad-hoc,56.2,Semi-pucca,5,2.0,Agriculture
182,Regular,1275,Bi-weekly,13.5,Semi-pucca,8,1.2,Business
183,Regular,1066,Weekly,18.9,Pucca,8,1.3,Salaried
184,Regular,1355,Weekly,27.9,Pucca,7,1.7,Salaried
185,Regular,1030,Bi-weekly,25.8,Pucca,8,1.4,Salaried
186,Regular,1054,Bi-weekly,17.1,Kutcha,8,1.3,Salaried
187,Irregular,1054,Ad-hoc,39.0,Pucca,6,2.0,Agriculture
188,Irregular,1065,Bi-weekly,13.9,Pucca,10,1.4,Business
189,Irregular,1030,Ad-hoc,46.6,Semi-pucca,5,1.5,Daily Wage
190,Regular,561,Monthly,61.6,Semi-pucca,5,2.0,Daily Wage
191,Regular,1097,Ad-hoc,30.7,Semi-pucca,7,1.7,Daily Wage
192,Regular,1101,Ad-hoc,31.2,Semi-pucca,9,2.0,Agriculture
193,Regular,1288,Weekly,13.5,Pucca,8,1.2,Salaried
194,Irregular,423,Ad-hoc,72.4,Kutcha,2,3.0,Daily Wage
195,Irregular,1241,Weekly,11.9,Semi-pucca,10,1.4,Business
196,Irregular,1278,Weekly,28.5,Semi-pucca,7,2.0,Salaried
197,Regular,805,Ad-hoc,51.4,Semi-pucca,7,1.7,Daily Wage
198,Regular,1066,Weekly,15.6,Semi-pucca,10,1.2,Business
199,Regular,1051,Weekly,26.1,Pucca,7,1.4,Salaried
200,Regular,1070,Bi-weekly,14.0,Pucca,6,1.7,Salaried
201,Irregular,667,Monthly,38.8,Kutcha,6,2.0,Daily Wage
202,Irregular,864,Ad-hoc,46.4,Pucca,5,1.8,Agriculture
203,Regular,1272,Weekly,12.8,Pucca,10,1.3,Business
204,Regular,1437,Weekly,5.5,Semi-pucca,10,1.5,Pension
205,Defaulted,1446,Weekly,1.7,Semi-pucca,9,1.0,Salaried
206,Regular,1310,Bi-weekly,15.9,Pucca,9,2.0,Salaried
207,Regular,1100,Bi-weekly,26.7,Semi-pucca,8,1.5,Business
208,Regular,1115,Ad-hoc,53.0,Semi-pucca,6,1.7,Agriculture
209,Defaulted,944,Ad-hoc,30.7,Pucca,8,1.4,Agriculture
210,Irregular,1080,Weekly,25.0,Semi-pucca,5,2.0,Business
211,Regular,1188,Ad-hoc,40.4,Semi-pucca,6,1.7,Daily Wage
212,Defaulted,938,Bi-weekly,37.0,Pucca,5,1.5,Agriculture
213,Regular,1141,Weekly,22.1,Pucca,8,1.5,Salaried
214,Regular,1356,Bi-weekly,9.1,Pucca,10,1.3,Business
215,Irregular,1094,Monthly,42.6,Semi-pucca,6,1.8,Daily Wage
216,Irregular,1081,Monthly,30.8,Semi-pucca,8,2.5,Daily Wage
217,Regular,1180,Weekly,8.7,Semi-pucca,10,1.0,Salaried
218,Irregular,990,Ad-hoc,32.0,Pucca,5,1.6,Business
219,Regular,1285,Weekly,17.2,Semi-pucca,5,1.2,Salaried
220,Regular,782,Ad-hoc,52.4,Pucca,5,3.0,Daily Wage
221,Regular,1176,Weekly,14.4,Pucca,8,1.2,Salaried
222,Regular,788,Ad-hoc,43.7,Kutcha,4,2.0,Agriculture
223,Regular,948,Ad-hoc,56.2,Pucca,2,2.0,Business
224,Regular,1158,Bi-weekly,20.4,Pucca,7,1.4,Salaried
225,Regular,1092,Bi-weekly,26.5,Pucca,7,1.4,Salaried
226,Defaulted,1117,Ad-hoc,34.3,Semi-pucca,7,3.0,Daily Wage
227,Regular,870,Monthly,30.8,Semi-pucca,7,1.5,Daily Wage
228,Regular,1319,Bi-weekly,7.8,Pucca,10,1.3,Business
229,Regular,1386,Weekly,20.4,Pucca,7,1.5,Salaried
230,Defaulted,876,Ad-hoc,46.8,Pucca,6,2.0,Daily Wage
231,Regular,1183,Bi-weekly,22.4,Pucca,8,1.2,Business
232,Defaulted,806,Ad-hoc,56.4,Pucca,5,2.0,Agriculture
233,Irregular,1044,Bi-weekly,45.8,Semi-pucca,5,1.5,Daily Wage
234,Irregular,1176,Monthly,22.9,Semi-pucca,9,1.5,Salaried
235,Regular,1532,Weekly,19.4,Semi-pucca,8,1.2,Business
236,Irregular,1306,Bi-weekly,11.4,Pucca,8,1.5,Salaried
237,Regular,1208,Weekly,11.9,Pucca,9,1.3,Salaried
238,Irregular,1364,Bi-weekly,22.4,Pucca,7,1.5,Business
239,Regular,1178,Bi-weekly,17.5,Semi-pucca,9,1.5,Salaried
240,Regular,1054,Weekly,23.8,Kutcha,6,1.6,Business
241,Irregular,751,Ad-hoc,43.8,Pucca,6,2.0,Daily Wage
242,Irregular,1131,Monthly,30.5,Semi-pucca,7,1.7,Daily Wage
243,Irregular,883,Ad-hoc,41.1,Pucca,6,1.3,Business
244,Regular,1028,Bi-weekly,23.8,Pucca,9,1.3,Salaried
245,Irregular,984,Bi-weekly,30.6,Pucca,8,1.3,Agriculture
246,Irregular,1102,Bi-weekly,22.4,Pucca,8,1.5,Salaried
247,Regular,1265,Bi-weekly,22.8,Pucca,8,1.5,Salaried
248,Irregular,806,Monthly,60.1,Pucca,4,2.0,Agriculture
249,Irregular,1175,Monthly,18.6,Pucca,9,1.2,Salaried
250,Irregular,1113,Ad-hoc,33.2,Pucca,4,1.3,Agriculture
251,Regular,1216,Weekly,15.4,Pucca,8,1.2,Salaried
252,Defaulted,780,Bi-weekly,59.0,Pucca,2,1.7,Agriculture
253,Regular,1157,Bi-weekly,13.6,Pucca,10,1.3,Business
254,Regular,1148,Weekly,14.5,Pucca,8,1.7,Salaried
255,Defaulted,904,Bi-weekly,47.0,Pucca,5,1.7,Daily Wage
256,Defaulted,1039,Bi-weekly,34.7,Semi-pucca,8,1.7,Daily Wage
257,Regular,1294,Bi-weekly,22.4,Pucca,8,1.3,Salaried
258,Regular,1051,Ad-hoc,38.1,Semi-pucca,5,1.5,Business
259,Regular,1053,Weekly,25.3,Pucca,7,1.3,Salaried
260,Regular,1009,Bi-weekly,19.2,Pucca,8,1.7,Salaried
261,Regular,1284,Monthly,21.8,Semi-pucca,6,1.5,Business
262,Regular,844,Ad-hoc,54.7,Pucca,4,2.0,Daily Wage
263,Regular,1060,Ad-hoc,43.2,Semi-pucca,5,1.5,Daily Wage
264,Regular,1092,Ad-hoc,33.8,Pucca,6,2.0,Daily Wage
265,Regular,1344,Weekly,28.0,Pucca,5,1.7,Salaried
266,Irregular,1144,Weekly,20.5,Pucca,9,1.0,Salaried
267,Irregular,1188,Weekly,19.8,Pucca,8,1.3,Salaried
268,Irregular,1048,Ad-hoc,42.0,Semi-pucca,6,1.6,Agriculture
269,Regular,1416,Monthly,9.5,Semi-pucca,10,1.3,Salaried
270,Regular,1370,Weekly,6.8,Pucca,8,1.4,Business
271,Irregular,766,Monthly,37.3,Semi-pucca,7,2.0,Agriculture
272,Regular,952,Bi-weekly,18.1,Pucca,8,1.3,Salaried
273,Irregular,830,Monthly,46.9,Kutcha,4,1.7,Daily Wage
274,Regular,917,Monthly,44.2,Semi-pucca,6,1.6,Daily Wage
275,Regular,838,Weekly,27.3,Pucca,9,1.7,Pension
276,Regular,909,Ad-hoc,44.2,Kutcha,6,2.0,Daily Wage
277,Regular,994,Monthly,45.1,Semi-pucca,7,1.5,Business
278,Irregular,825,Ad-hoc,51.4,Kutcha,4,1.5,Daily Wage
279,Regular,1222,Weekly,19.8,Semi-pucca,6,1.4,Pension
280,Regular,1420,Bi-weekly,5.6,Pucca,10,1.5,Business
281,Regular,1161,Weekly,1.3,Semi-pucca,10,1.3,Salaried
282,Irregular,1004,Monthly,44.2,Pucca,7,1.8,Daily Wage
283,Defaulted,1015,Weekly,25.6,Pucca,7,1.5,Salaried
284,Regular,1234,Weekly,12.0,Pucca,7,2.0,Salaried
285,Regular,987,Bi-weekly,29.1,Semi-pucca,6,1.5,Salaried
286,Irregular,1277,Weekly,24.8,Pucca,5,1.2,Salaried
287,Regular,935,Monthly,27.3,Pucca,7,1.3,Business
288,Regular,1339,Weekly,23.1,Semi-pucca,10,1.3,Salaried
289,Regular,1297,Bi-weekly,39.8,Pucca,6,1.5,Daily Wage
290,Regular,1047,Monthly,12.3,Pucca,9,1.0,Business
291,Regular,1049,Weekly,24.4,Pucca,9,1.4,Pension
292,Regular,1299,Weekly,16.9,Pucca,8,1.5,Business
293,Defaulted,861,Bi-weekly,36.3,Semi-pucca,9,2.0,Daily Wage
294,Regular,1186,Bi-weekly,15.9,Pucca,10,1.5,Salaried
295,Irregular,1316,Bi-weekly,9.8,Kutcha,9,1.6,Salaried
296,Defaulted,941,Monthly,32.6,Semi-pucca,6,1.7,Daily Wage
297,Defaulted,1074,Ad-hoc,30.7,Pucca,8,1.3,Daily Wage
298,Regular,1448,Bi-weekly,7.7,Pucca,9,1.2,Business
299,Regular,868,Ad-hoc,47.3,Semi-pucca,4,3.0,Daily Wage
300,Irregular,907,Bi-weekly,31.6,Pucca,8,1.8,Agriculture
301,Regular,1336,Bi-weekly,20.6,Pucca,9,1.2,Salaried
302,Irregular,1551,Weekly,3.9,Pucca,10,1.2,Salaried
303,Regular,993,Monthly,41.7,Kutcha,4,2.0,Agriculture
304,Regular,926,Bi-weekly,30.5,Pucca,5,1.5,Agriculture
305,Defaulted,880,Ad-hoc,36.0,Pucca,7,1.5,Agriculture
306,Regular,716,Ad-hoc,32.0,Semi-pucca,6,1.7,Daily Wage
307,Regular,1250,Bi-weekly,6.0,Pucca,9,1.5,Salaried
308,Regular,1309,Bi-weekly,21.8,Pucca,9,1.5,Salaried
309,Irregular,838,Ad-hoc,42.3,Semi-pucca,7,1.8,Business
310,Regular,1171,Bi-weekly,8.6,Pucca,10,1.5,Salaried
311,Regular,1277,Weekly,24.1,Semi-pucca,6,1.5,Salaried
312,Irregular,1443,Weekly,10.7,Pucca,9,1.2,Salaried
313,Regular,891,Bi-weekly,39.4,Kutcha,7,1.7,Agriculture
314,Regular,1190,Weekly,25.6,Kutcha,8,1.5,Salaried
315,Irregular,856,Ad-hoc,38.4,Kutcha,8,1.8,Agriculture
316,Irregular,949,Ad-hoc,36.6,Kutcha,7,1.8,Daily Wage
317,Irregular,505,Ad-hoc,58.2,Semi-pucca,6,2.0,Agriculture
318,Regular,832,Monthly,56.2,Pucca,5,2.0,Daily Wage
319,Regular,1288,Bi-weekly,8.8,Pucca,10,1.6,Business
320,Regular,926,Monthly,34.5,Semi-pucca,6,1.0,Daily Wage
321,Regular,716,Ad-hoc,61.0,Kutcha,4,1.8,Business
322,Regular,1024,Monthly,31.4,Pucca,8,1.4,Daily Wage
323,Irregular,571,Ad-hoc,64.8,Kutcha,5,2.0,Daily Wage
324,Regular,1206,Bi-weekly,22.7,Semi-pucca,9,1.5,Business
325,Irregular,859,Ad-hoc,45.3,Kutcha,5,3.0,Agriculture
326,Defaulted,721,Monthly,60.0,Kutcha,6,2.0,Agriculture
327,Regular,1045,Weekly,13.6,Pucca,6,1.3,Business
328,Regular,1122,Weekly,23.6,Pucca,6,1.2,Salaried
329,Defaulted,709,Monthly,60.5,Pucca,5,1.5,Daily Wage
330,Regular,963,Bi-weekly,29.2,Pucca,7,2.0,Business
331,Defaulted,1033,Ad-hoc,40.0,Semi-pucca,7,1.2,Daily Wage
332,Regular,609,Bi-weekly,45.1,Kutcha,6,2.0,Daily Wage
333,Irregular,1129,Bi-weekly,18.5,Semi-pucca,9,1.4,Salaried
334,Irregular,992,Ad-hoc,41.0,Semi-pucca,5,1.0,Business
335,Regular,1309,Bi-weekly,35.0,Pucca,7,1.7,Daily Wage
336,Irregular,1015,Bi-weekly,17.6,Pucca,9,1.3,Business
337,Irregular,1186,Monthly,20.5,Pucca,9,2.0,Salaried
338,Irregular,807,Ad-hoc,60.9,Pucca,6,1.3,Daily Wage
339,Irregular,1253,Bi-weekly,14.2,Pucca,9,1.3,Salaried
340,Regular,747,Bi-weekly,43.6,Pucca,6,1.4,Agriculture
341,Irregular,993,Bi-weekly,30.8,Pucca,5,2.0,Business
342,Regular,557,Ad-hoc,45.5,Pucca,5,1.8,Agriculture
343,Regular,930,Bi-weekly,42.8,Semi-pucca,5,1.6,Business
344,Regular,895,Weekly,27.8,Pucca,8,1.0,Salaried
345,Regular,1260,Bi-weekly,18.5,Pucca,7,1.4,Business
346,Regular,697,Ad-hoc,55.5,Semi-pucca,5,1.7,Agriculture
347,Irregular,741,Ad-hoc,50.3,Kutcha,5,2.0,Daily Wage
348,Regular,1069,Bi-weekly,32.2,Pucca,7,2.0,Agriculture
349,Regular,1112,Weekly,29.4,Pucca,7,1.7,Salaried
350,Regular,1383,Bi-weekly,12.5,Semi-pucca,8,1.4,Salaried
351,Irregular,874,Ad-hoc,44.4,Semi-pucca,5,1.8,Daily Wage
352,Regular,751,Ad-hoc,57.6,Kutcha,2,2.2,Agriculture
353,Regular,1069,Monthly,12.4,Pucca,8,1.2,Salaried
354,Regular,1446,Monthly,14.2,Pucca,8,1.5,Salaried
355,Regular,1063,Bi-weekly,18.7,Pucca,8,1.4,Salaried
356,Regular,1291,Weekly,19.1,Pucca,9,1.5,Business
357,Regular,1199,Bi-weekly,27.5,Pucca,8,1.0,Business
358,Regular,1170,Bi-weekly,25.9,Pucca,8,2.0,Salaried
359,Irregular,1239,Weekly,11.6,Pucca,10,1.2,Salaried
360,Regular,702,Ad-hoc,58.8,Semi-pucca,5,2.5,Daily Wage
361,Regular,1235,Weekly,14.2,Pucca,8,1.3,Salaried
362,Regular,839,Bi-weekly,26.7,Pucca,7,1.5,Salaried
363,Regular,1210,Weekly,16.9,Pucca,9,1.0,Salaried
364,Regular,1052,Monthly,50.5,Pucca,6,3.0,Agriculture
365,Regular,1131,Monthly,21.5,Pucca,10,1.5,Salaried
366,Irregular,1062,Bi-weekly,30.3,Semi-pucca,8,1.3,Agriculture
367,Defaulted,591,Ad-hoc,60.4,Semi-pucca,3,1.7,Daily Wage
368,Regular,1176,Weekly,22.6,Pucca,8,1.5,Salaried
369,Irregular,928,Ad-hoc,33.0,Pucca,8,1.5,Agriculture
370,Regular,1348,Bi-weekly,15.5,Pucca,10,1.2,Salaried
371,Regular,1269,Monthly,26.4,Semi-pucca,8,1.2,Salaried
372,Regular,1164,Ad-hoc,38.7,Semi-pucca,6,1.2,Agriculture
373,Irregular,1063,Bi-weekly,12.2,Pucca,7,1.3,Business
374,Regular,1247,Weekly,23.1,Pucca,6,1.2,Salaried
