age,loan_amount,loan_tenure_months,number_of_loans,on_time_repayments_percentage,missed_payments_total,avg_monthly_electricity_units,avg_monthly_mobile_recharge,business_activity,loan_default_status
65,141799,48,2,90.9,9,349,734,Tailoring,0
36,149962,12,5,98.0,3,353,190,Food Stall,0
51,185520,36,2,87.89,10,323,165,Farming,1
28,46271,12,3,91.45,2,353,253,Tailoring,0
47,71240,36,3,91.85,3,135,780,Retail Shop,0
41,166526,12,2,92.85,0,151,727,Artisan,0
45,100889,24,8,94.84,1,304,780,Tailoring,0
57,168520,48,7,93.34,2,235,753,Retail Shop,0
57,144718,60,6,72.04,10,382,330,Food Stall,0
61,121016,24,3,94.85,1,142,432,Artisan,0
30,111930,36,3,96.2,0,273,223,Handicrafts,0
24,54153,12,1,87.35,6,361,616,Retail Shop,0
36,89143,12,7,82.37,7,175,223,Artisan,0
30,116250,24,1,90.79,2,266,721,Farming,0
43,159361,60,4,91.73,3,198,471,Handicrafts,0
61,122776,12,2,90.5,1,201,283,Food Stall,0
29,73532,60,2,97.41,3,216,751,Farming,0
55,83053,12,3,90.64,3,66,764,Handicrafts,0
42,129243,36,2,65.34,8,62,555,Artisan,0
40,125639,12,7,89.76,3,56,225,Farming,0
61,198055,60,3,97.43,3,347,418,Handicrafts,0
46,65430,36,5,92.41,2,201,323,Handicrafts,0
63,138711,12,2,98.58,3,394,336,Handicrafts,0
60,99844,48,3,66.5,8,158,261,Handicrafts,0
47,71222,24,7,85.27,8,393,733,Handicrafts,0
65,187778,36,2,90.93,0,325,244,Handicrafts,0
32,122017,24,4,98.4,3,95,790,Retail Shop,1
38,112247,48,1,94.34,0,173,303,Farming,0
42,126322,24,2,98.25,2,97,287,Retail Shop,0
50,113271,36,4,98.35,1,362,302,Tailoring,0
59,109403,12,1,93.27,0,352,762,Artisan,0
24,55251,60,7,95.31,2,68,654,Artisan,0
29,51305,24,1,92.35,3,209,263,Handicrafts,0
52,85733,24,8,94.73,2,393,390,Food Stall,0
60,156463,36,4,97.2,1,97,251,Handicrafts,0
26,191220,24,8,92.26,4,176,431,Tailoring,0
50,71538,60,5,97.49,3,121,500,Food Stall,0
49,105585,24,2,99.51,2,290,169,Artisan,0
33,93144,12,5,85.6,10,126,205,Artisan,0
34,96623,24,3,97.15,0,170,599,Handicrafts,0
39,117285,12,6,91.28,3,354,183,Farming,0
25,171618,48,6,95.71,2,242,267,Artisan,0
51,100669,12,7,92.07,2,264,540,Tailoring,0
41,105448,36,7,84.07,6,85,441,Tailoring,0
60,141895,36,8,90.01,0,198,542,Farming,0
63,175459,60,2,92.09,3,332,587,Handicrafts,0
40,51840,12,2,62.66,8,356,570,Handicrafts,0
37,62578,60,5,92.25,1,239,642,Handicrafts,0
26,100852,60,5,97.07,0,353,696,Artisan,0
46,154459,12,7,90.27,1,319,365,Retail Shop,0
64,145952,48,3,95.09,3,121,207,Farming,0
36,120042,60,5,93.9,1,192,436,Farming,0
62,128848,36,8,95.2,3,363,398,Retail Shop,0
35,62180,60,5,95.71,3,58,160,Retail Shop,0
30,178518,48,7,60.47,10,235,294,Artisan,0
38,90736,48,6,98.38,3,356,379,Handicrafts,0
32,96041,36,8,98.72,3,277,610,Tailoring,0
29,144387,48,2,98.91,2,359,367,Tailoring,0
41,126248,12,1,83.17,6,232,430,Retail Shop,0
47,139900,60,3,70.43,5,188,247,Handicrafts,1
46,32288,48,8,90.95,2,197,189,Retail Shop,0
57,112951,12,6,80.9,9,352,666,Food Stall,0
62,90434,12,5,97.18,2,133,645,Retail Shop,1
62,194760,48,6,81.34,8,96,429,Handicrafts,0
34,175513,24,2,98.88,2,92,647,Handicrafts,0
53,199601,12,7,70.59,4,328,651,Artisan,0
33,194099,36,5,94.96,0,71,642,Farming,0
49,111635,12,6,68.87,8,375,158,Tailoring,0
46,188332,48,7,95.75,2,238,513,Tailoring,0
33,119717,12,4,90.73,3,138,236,Tailoring,0
58,170831,12,2,94.55,1,57,543,Food Stall,0
57,72961,60,8,84.27,4,79,273,Retail Shop,0
48,75726,36,1,97.13,1,392,755,Retail Shop,0
30,138291,48,4,98.63,2,116,551,Food Stall,0
54,112443,60,4,97.54,1,64,666,Artisan,0
42,47623,36,5,98.82,2,376,491,Artisan,0
52,167772,60,1,72.24,4,283,307,Farming,0
57,35295,12,1,81.17,7,121,465,Artisan,0
38,106930,24,6,93.75,1,186,785,Artisan,0
37,81840,36,6,97.92,3,95,737,Farming,0
45,39293,24,8,95.77,1,399,229,Handicrafts,0
28,31088,60,7,98.14,1,339,198,Farming,0
35,177187,36,1,92.62,3,191,314,Farming,0
30,94242,60,3,93.17,10,353,361,Handicrafts,0
30,64146,24,4,97.9,0,129,466,Tailoring,0
51,138244,48,5,78.08,4,242,200,Food Stall,0
26,109370,48,1,99.92,0,195,615,Tailoring,0
28,117497,24,1,98.57,2,112,290,Food Stall,0
51,124145,24,5,84.03,6,268,354,Tailoring,0
49,179822,24,1,94.51,1,92,243,Food Stall,0
39,95657,36,4,75.49,5,190,675,Handicrafts,0
42,77171,60,4,91.32,2,172,779,Handicrafts,1
47,42257,24,1,95.29,0,149,378,Artisan,0
25,150749,36,1,74.67,8,106,751,Artisan,0
28,82857,36,7,94.97,3,118,214,Retail Shop,0
51,32598,12,7,87.53,4,74,621,Tailoring,0
33,64843,60,8,75.61,7,154,481,Tailoring,0
24,74174,48,1,92.77,0,164,541,Food Stall,0
51,74506,36,7,91.24,3,261,557,Farming,0
47,33297,24,2,63.01,4,115,496,Tailoring,0
44,101002,12,7,98.33,1,230,739,Farming,0
30,187434,36,3,90.74,1,400,254,Tailoring,0
56,125386,60,4,95.48,0,51,274,Retail Shop,0
35,44055,24,7,64.2,10,69,716,Retail Shop,0
45,47997,12,7,90.01,5,352,464,Tailoring,0
26,179014,60,5,92.87,3,228,281,Tailoring,0
45,151896,48,1,99.11,3,385,249,Tailoring,0
54,128513,48,8,92.61,2,150,327,Retail Shop,0
61,198406,12,6,98.96,0,317,630,Artisan,0
62,100835,36,2,98.86,2,330,424,Artisan,0
38,166436,36,3,64.88,2,65,299,Tailoring,0
40,113792,36,3,97.48,1,192,440,Food Stall,0
47,90188,24,3,94.78,3,121,388,Food Stall,0
41,179619,36,6,94.86,0,333,338,Handicrafts,0
42,124009,36,4,94.91,3,142,261,Retail Shop,0
41,193192,36,2,98.7,3,74,220,Tailoring,0
41,89057,12,8,94.07,0,51,250,Tailoring,0
50,40987,24,5,96.4,2,78,471,Farming,0
50,178010,12,3,99.51,0,395,326,Handicrafts,0
65,126134,12,2,93.34,2,231,591,Artisan,0
64,138382,12,1,92.98,0,371,557,Tailoring,0
27,101210,60,4,93.77,2,195,723,Handicrafts,0
56,138089,36,1,62.43,9,350,592,Farming,0
27,120857,60,6,60.14,9,350,573,Farming,1
50,165157,24,8,96.34,0,192,737,Retail Shop,0
29,76363,48,3,96.85,2,244,357,Retail Shop,0
60,190582,48,7,97.57,1,59,718,Artisan,0
35,109550,60,2,95.71,0,133,245,Retail Shop,0
41,113152,60,2,96.66,1,259,557,Food Stall,0
65,152025,60,7,95.34,1,160,796,Tailoring,0
43,47448,12,8,96.54,2,394,315,Farming,0
45,115290,36,4,98.76,3,122,789,Handicrafts,0
56,31442,36,8,99.99,3,249,750,Farming,0
49,96452,48,5,96.72,2,376,566,Tailoring,0
49,157161,60,4,99.16,2,361,304,Tailoring,0
50,102962,24,7,96.38,1,54,620,Tailoring,0
44,139408,48,5,92.28,2,100,592,Retail Shop,0
48,153097,12,5,98.49,0,252,304,Tailoring,0
39,194154,36,6,96.21,1,391,344,Food Stall,0
42,59812,48,1,93.78,2,355,641,Retail Shop,1
63,146191,36,2,95.32,2,213,488,Retail Shop,1
43,127642,12,4,90.8,0,114,581,Artisan,0
41,115985,48,7,94.81,8,50,531,Farming,0
64,136561,48,2,96.23,3,329,431,Retail Shop,0
51,32504,24,6,95.78,0,237,788,Handicrafts,0
55,134383,36,1,92.91,1,112,528,Retail Shop,0
28,108590,24,2,73.38,3,74,280,Handicrafts,0
54,110673,60,2,90.98,9,252,764,Retail Shop,0
46,164955,12,7,76.41,7,205,513,Food Stall,0
24,94337,36,7,93.72,0,86,476,Handicrafts,0
27,138001,36,2,92.24,4,296,790,Farming,0
25,152494,36,1,92.01,8,56,350,Retail Shop,0
35,89630,48,3,99.38,3,54,227,Handicrafts,0
44,152166,36,8,99.11,3,331,734,Farming,0
32,136982,48,4,83.94,8,91,612,Artisan,0
55,149196,36,2,96.31,3,74,210,Artisan,0
60,174875,48,8,99.17,3,50,573,Artisan,0
33,118882,48,8,95.93,0,55,279,Artisan,0
26,133045,48,2,94.04,1,230,642,Handicrafts,0
40,41579,12,4,62.2,9,56,373,Food Stall,0
27,113987,36,4,93.95,1,232,403,Handicrafts,0
45,98187,36,2,85.07,8,396,196,Tailoring,1
33,165921,12,5,62.49,5,311,577,Handicrafts,0
26,144745,60,4,85.41,10,338,478,Tailoring,0
55,146028,24,6,82.18,2,153,354,Farming,0
56,176139,36,7,97.72,2,116,326,Farming,0
56,46704,60,4,95.85,0,173,584,Handicrafts,0
23,141563,12,4,67.46,2,95,250,Retail Shop,0
63,133795,60,8,93.24,1,50,773,Farming,0
22,88488,24,3,99.54,0,299,462,Farming,0
24,187721,60,7,94.94,0,314,601,Retail Shop,0
36,90126,24,5,96.88,2,97,435,Tailoring,0
57,45535,12,5,85.67,9,62,329,Retail Shop,0
49,113628,48,2,80.39,3,230,738,Farming,1
61,188642,36,1,95.03,1,284,656,Farming,0
42,153012,24,7,94.7,0,75,654,Tailoring,0
53,146722,24,3,63.74,2,135,705,Retail Shop,0
54,82250,60,1,90.01,0,315,180,Tailoring,1
62,57810,36,1,90.98,3,241,179,Handicrafts,0
39,143995,24,2,93.38,1,138,460,Artisan,0
58,176407,24,8,92.46,1,387,674,Farming,0
34,185213,12,6,92.74,0,73,666,Food Stall,0
52,73285,24,8,90.6,2,158,663,Farming,0
35,156975,48,7,95.27,1,149,645,Farming,0
42,105803,12,2,93.89,3,261,394,Farming,0
35,129127,36,6,95.73,3,214,610,Tailoring,0
47,192228,60,8,65.68,5,265,488,Tailoring,0
33,95277,12,4,96.85,0,278,285,Handicrafts,1
51,94579,48,8,98.37,0,292,369,Artisan,0
45,174463,24,6,91.56,1,97,791,Tailoring,0
49,129368,36,3,92.13,6,200,787,Retail Shop,0
40,108129,48,1,61.09,3,382,312,Retail Shop,0
48,166515,12,7,98.4,0,298,527,Handicrafts,0
42,53487,48,8,92.22,0,332,483,Handicrafts,0
29,57181,12,8,90.43,3,350,265,Artisan,0
53,80280,24,4,95.56,3,305,608,Farming,0
54,26659,12,2,85.33,4,317,729,Retail Shop,0
59,157470,12,1,95.19,2,140,723,Food Stall,0
27,197360,24,3,98.04,3,66,576,Farming,0
27,151435,48,2,60.02,10,334,163,Retail Shop,0
27,113814,48,7,93.42,1,143,798,Artisan,0
39,92072,48,6,96.66,3,175,417,Tailoring,1
24,43689,48,3,98.36,2,218,664,Retail Shop,0
35,161783,36,3,94.98,3,325,476,Food Stall,1
39,119900,48,1,93.65,0,58,740,Retail Shop,0
60,81214,24,1,62.19,10,105,578,Retail Shop,0
64,100798,24,1,97.23,0,90,509,Handicrafts,0
36,50622,60,4,73.33,10,83,617,Farming,0
40,193449,24,1,82.72,7,299,561,Artisan,0
52,145036,60,1,60.93,4,90,444,Artisan,0
42,90157,60,2,93.27,1,281,719,Farming,0
32,146334,60,2,99.78,0,358,503,Farming,0
26,68388,24,6,97.04,1,321,320,Retail Shop,0
58,191673,24,3,91.16,3,328,553,Retail Shop,0
32,64736,12,1,78.66,9,179,699,Food Stall,0
51,177896,24,4,93.38,0,236,612,Food Stall,0
52,195920,48,1,98.75,0,57,727,Retail Shop,0
54,86211,48,4,78.94,7,198,546,Tailoring,0
53,92269,12,5,73.15,8,273,688,Food Stall,0
57,131075,24,2,95.77,0,333,698,Food Stall,0
61,44503,24,7,93.96,0,324,682,Handicrafts,0
62,183432,36,6,62.44,6,304,462,Artisan,0
32,146134,60,5,96.69,2,56,214,Tailoring,0
45,143073,36,3,93.84,0,109,382,Farming,0
65,93626,60,2,90.88,1,392,410,Handicrafts,0
48,106353,36,1,81.4,5,245,526,Retail Shop,0
43,61837,60,5,96.29,2,159,624,Farming,0
45,135899,48,6,91.89,0,266,414,Retail Shop,0
42,56671,60,1,83.57,7,300,191,Tailoring,0
56,100895,48,7,92.97,3,201,534,Handicrafts,0
39,70955,36,2,98.01,0,154,508,Artisan,0
33,170711,60,7,91.09,2,149,390,Food Stall,0
50,55890,12,2,73.39,2,368,453,Handicrafts,0
35,66123,60,1,96.17,1,196,155,Farming,0
52,125675,48,2,92.44,0,200,223,Artisan,0
29,133301,48,5,93.79,3,307,357,Retail Shop,0
41,43377,36,5,96.74,2,176,198,Farming,0
65,29905,48,6,76.82,10,366,212,Farming,0
26,118676,24,5,93.93,3,65,696,Handicrafts,0
43,103662,48,7,70.27,3,64,589,Farming,0
43,93243,36,8,93.36,0,50,248,Food Stall,0
38,96301,60,4,98.7,1,85,175,Artisan,1
43,146304,60,4,91.67,0,197,390,Handicrafts,0
43,164150,24,5,98.87,2,70,478,Farming,0
54,156016,24,7,90.42,0,287,509,Food Stall,0
61,51297,24,2,95.26,2,118,661,Tailoring,0
22,98510,36,1,82.48,10,368,698,Handicrafts,0
49,75885,24,8,91.59,6,201,683,Retail Shop,0
48,113583,24,5,91.32,3,363,662,Artisan,0
62,114071,60,7,66.93,5,316,772,Food Stall,0
38,78804,24,7,97.85,3,69,475,Artisan,0
45,81645,60,2,90.58,1,200,714,Handicrafts,0
52,86726,12,3,79.16,10,82,437,Artisan,0
58,185930,60,2,72.53,5,56,657,Handicrafts,0
37,104634,12,6,76.29,10,125,509,Tailoring,0
63,84861,12,7,81.27,2,289,632,Handicrafts,0
43,165420,48,5,78.82,10,80,190,Food Stall,0
34,191770,36,7,99.35,2,82,460,Artisan,0
56,194343,48,1,96.64,2,299,622,Artisan,0
37,198875,24,1,83.44,4,226,238,Food Stall,0
42,63931,36,6,73.28,8,138,644,Farming,0
28,41601,60,7,98.2,2,348,633,Tailoring,0
63,172846,36,8,95.58,1,72,351,Retail Shop,0
53,26175,12,1,61.64,6,334,726,Retail Shop,0
50,31293,60,5,91.61,1,271,210,Retail Shop,0
34,67925,60,2,99.49,3,399,781,Artisan,0
47,100658,48,3,95.42,0,273,308,Farming,0
23,33058,36,8,95.47,3,182,699,Food Stall,0
64,151514,24,5,76.24,8,137,620,Artisan,1
45,81380,60,6,91.17,8,135,362,Tailoring,0
40,41806,60,4,95.88,1,343,732,Farming,0
40,110929,24,6,97.13,0,142,186,Farming,0
51,50807,36,3,86.97,6,190,151,Farming,1
47,136119,12,5,90.48,3,155,292,Artisan,0
41,106312,12,2,96.02,1,311,735,Farming,0
39,198156,60,5,91.34,0,53,248,Farming,0
25,138234,36,3,95.0,2,285,277,Handicrafts,1
51,88580,48,6,92.02,0,59,622,Artisan,0
27,161347,60,7,92.36,3,358,177,Retail Shop,0
43,124904,24,2,93.38,3,376,718,Farming,0
56,26587,12,4,91.03,0,191,485,Retail Shop,0
34,37493,36,6,93.84,3,167,442,Tailoring,0
31,61043,48,3,92.37,3,285,501,Artisan,0
54,194626,36,7,98.74,2,381,183,Food Stall,0
38,156281,24,3,67.46,3,324,473,Artisan,0
50,190795,60,6,92.91,0,183,352,Handicrafts,0
55,161610,36,4,93.55,1,355,658,Tailoring,0
28,159129,36,5,96.11,3,304,499,Tailoring,0
55,38508,60,3,90.08,3,304,710,Tailoring,0
54,176098,24,5,91.04,1,221,559,Retail Shop,0
65,114710,36,2,93.41,3,252,498,Farming,0
23,186275,36,2,93.47,0,307,480,Farming,0
38,181417,24,2,95.47,0,145,320,Tailoring,0
53,179429,48,2,99.9,2,385,708,Tailoring,0
36,169850,24,3,95.27,1,201,772,Food Stall,0
45,114526,12,1,96.28,3,64,574,Farming,0
33,58006,48,7,97.67,1,382,213,Artisan,0
58,116674,24,7,66.37,3,148,318,Handicrafts,0
51,98311,24,1,93.39,3,349,633,Artisan,0
58,60358,48,3,98.07,2,202,309,Tailoring,0
65,92332,24,8,94.8,5,333,657,Artisan,0
31,77672,36,5,72.45,8,358,197,Handicrafts,1
48,125377,36,2,74.98,6,155,274,Artisan,0
45,72094,48,8,82.02,4,80,516,Food Stall,0
47,174171,60,2,79.61,5,156,210,Tailoring,0
42,126083,12,3,77.49,6,188,362,Farming,0
38,25561,48,1,95.66,2,144,422,Food Stall,0
52,28386,36,2,95.07,0,101,184,Food Stall,0
57,187612,36,1,91.18,1,89,262,Handicrafts,0
23,136994,12,2,76.6,7,363,505,Farming,0
32,63369,36,4,71.03,2,62,735,Handicrafts,0
28,148403,24,8,97.41,0,120,201,Retail Shop,1
63,162236,12,4,99.82,2,139,306,Food Stall,0
27,38844,24,5,92.01,2,383,456,Food Stall,0
25,117447,12,2,92.24,3,322,298,Tailoring,0
38,133643,36,3,87.28,10,277,748,Retail Shop,0
23,126213,12,8,76.58,7,350,290,Handicrafts,0
38,34937,12,8,96.07,2,304,453,Retail Shop,0
65,127118,12,3,90.8,2,171,563,Farming,0
30,117587,12,3,93.8,1,387,263,Food Stall,0
43,94858,60,1,95.13,1,90,342,Retail Shop,0
54,81488,48,7,99.86,3,137,291,Tailoring,0
29,62857,12,2,90.72,3,254,156,Farming,0
32,90130,12,3,91.37,2,326,799,Food Stall,0
22,83137,36,6,87.19,7,166,154,Food Stall,0
38,66361,36,5,90.9,3,119,590,Food Stall,0
35,38681,60,2,92.67,0,61,744,Handicrafts,0
35,56192,12,4,95.41,2,112,493,Handicrafts,0
31,47790,24,7,78.57,8,306,179,Retail Shop,1
36,159053,36,8,84.9,4,355,611,Tailoring,0
27,108443,48,6,90.74,1,300,500,Tailoring,0
52,62336,36,1,99.35,2,113,726,Artisan,0
33,180160,60,5,81.47,2,376,364,Artisan,0
40,49395,24,8,90.33,1,125,273,Food Stall,0
23,81205,36,6,88.54,3,329,194,Artisan,0
28,155271,36,2,92.34,1,365,745,Artisan,0
22,135162,12,8,96.03,3,322,164,Handicrafts,0
28,110129,36,5,93.48,9,309,259,Food Stall,0
45,155757,48,6,94.01,3,390,281,Farming,0
38,188882,12,3,97.55,3,231,697,Food Stall,0
32,172817,60,3,99.73,3,257,636,Farming,0
64,72324,48,5,70.84,8,391,367,Handicrafts,0
58,94853,36,3,92.97,0,122,250,Food Stall,0
59,111745,36,5,87.96,8,260,274,Retail Shop,0
47,147309,24,2,94.12,3,158,617,Food Stall,0
28,141855,12,3,95.41,0,220,401,Food Stall,0
42,83637,24,1,91.71,2,384,714,Retail Shop,0
60,161345,36,8,98.37,2,346,361,Retail Shop,0
39,25149,12,1,97.24,0,167,711,Food Stall,0
57,104664,48,3,86.1,4,358,524,Handicrafts,0
51,61266,12,3,96.6,1,370,380,Handicrafts,0
36,40009,24,6,70.63,10,200,621,Food Stall,0
55,193633,36,7,78.6,10,253,782,Artisan,0
36,113055,24,7,92.6,0,341,183,Retail Shop,0
63,81897,24,1,90.77,2,169,208,Food Stall,0
49,92278,60,7,90.87,2,383,583,Handicrafts,0
38,190262,60,4,97.31,0,78,260,Artisan,1
30,159883,48,3,92.28,0,215,202,Tailoring,0
64,115136,60,6,69.21,10,80,179,Artisan,1
27,107936,60,3,95.31,1,343,347,Handicrafts,0
51,71641,48,4,94.29,3,345,308,Farming,1
39,60643,24,3,88.48,6,268,409,Handicrafts,0
40,164039,60,1,97.32,0,384,408,Retail Shop,0
32,161379,48,2,92.42,3,241,652,Farming,0
53,29235,48,2,94.35,0,347,292,Artisan,0
36,113427,12,5,68.3,10,104,494,Farming,0
51,134209,12,6,91.19,3,222,478,Retail Shop,0
65,166179,60,8,97.31,0,293,168,Handicrafts,0
53,143722,36,4,65.72,6,229,324,Food Stall,0
64,28890,24,8,90.56,0,214,324,Retail Shop,0
65,86882,60,6,66.54,3,348,406,Food Stall,0
45,88543,48,2,88.46,9,145,615,Food Stall,0
63,54561,48,3,97.73,3,171,495,Food Stall,0
45,142681,24,7,62.01,7,130,310,Retail Shop,0
37,57537,12,1,65.02,7,284,519,Food Stall,0
22,46462,24,3,63.89,6,301,755,Food Stall,0
28,84165,48,1,92.38,0,219,617,Food Stall,0
32,125182,36,1,95.46,3,226,684,Retail Shop,0
54,27443,48,6,74.08,8,201,639,Artisan,0
47,67847,60,7,94.3,1,219,390,Artisan,0
36,27513,12,3,61.58,6,253,549,Food Stall,0
61,118535,60,8,92.28,3,189,627,Tailoring,0
39,139853,36,8,98.97,1,285,324,Tailoring,0
25,128971,60,3,97.99,0,223,246,Farming,0
44,115160,60,4,96.5,1,335,680,Food Stall,0
43,93689,60,3,92.02,0,185,296,Handicrafts,0
41,37078,36,1,78.6,3,338,433,Handicrafts,0
28,165520,12,1,90.58,3,182,585,Farming,0
36,34347,48,8,92.93,3,145,765,Farming,0
54,45950,36,3,61.11,7,323,652,Retail Shop,0
39,179625,24,7,94.73,1,91,732,Farming,0
48,41503,36,8,63.13,5,280,440,Handicrafts,0
24,187110,60,6,90.89,1,323,720,Retail Shop,0
52,199233,36,1,98.92,3,107,529,Artisan,0
31,56015,48,7,74.07,9,184,191,Farming,0
61,59889,48,7,94.84,3,181,604,Retail Shop,0
56,149578,12,7,91.84,0,292,601,Tailoring,0
33,97920,12,2,96.53,0,268,150,Tailoring,0
44,99988,48,5,64.91,6,119,266,Tailoring,0
34,58245,12,6,71.12,8,283,613,Artisan,0
27,167660,36,2,95.6,2,61,463,Retail Shop,0
37,79741,48,1,97.88,0,216,586,Food Stall,0
29,189913,60,3,99.45,2,78,680,Farming,0
41,167151,48,1,91.22,0,274,151,Tailoring,0
55,195189,24,3,97.14,2,304,722,Handicrafts,0
34,47710,60,8,94.09,1,206,713,Farming,0
45,89576,36,1,98.11,3,349,374,Food Stall,0
37,153938,12,3,90.53,0,162,474,Artisan,0
65,89180,36,2,97.94,1,380,242,Food Stall,0
63,182299,36,7,92.33,2,291,403,Handicrafts,0
47,164714,24,6,94.93,7,193,363,Handicrafts,0
27,192545,60,8,89.9,6,127,388,Retail Shop,0
40,179476,12,2,90.35,3,218,458,Handicrafts,0
58,180256,60,4,96.38,2,271,570,Artisan,0
23,105151,60,2,91.01,2,385,616,Farming,0
50,29502,60,3,94.57,2,144,151,Artisan,0
55,132998,48,4,99.38,0,220,197,Food Stall,0
52,34416,36,4,71.54,3,277,581,Farming,0
36,51874,48,8,95.13,0,337,403,Tailoring,0
26,135706,36,1,95.46,1,342,317,Food Stall,0
56,167906,12,5,95.81,2,67,678,Retail Shop,0
60,130446,36,8,99.75,0,322,287,Artisan,0
58,49252,12,6,94.6,1,275,786,Tailoring,0
52,189125,24,4,91.53,0,179,305,Food Stall,0
35,167879,24,6,98.43,3,83,561,Tailoring,0
34,167187,12,8,93.72,3,178,287,Artisan,0
32,63350,60,6,74.89,6,332,240,Food Stall,0
54,57109,48,1,93.98,2,120,332,Artisan,0
27,131532,24,5,91.09,0,263,771,Handicrafts,0
35,174604,24,3,82.73,3,103,497,Retail Shop,0
60,105649,60,7,76.14,2,147,516,Artisan,1
63,36569,36,3,78.77,5,95,196,Handicrafts,0
48,150267,60,4,93.35,0,102,165,Retail Shop,0
48,30878,24,2,98.7,1,242,598,Artisan,0
50,159126,24,8,95.8,1,123,637,Retail Shop,0
32,157763,24,4,96.62,0,108,529,Food Stall,0
33,102125,60,1,93.45,2,116,393,Tailoring,0
35,148279,36,6,95.65,3,161,620,Farming,0
36,71983,36,6,67.92,9,140,230,Retail Shop,0
63,52811,48,4,92.16,1,240,563,Handicrafts,0
40,44212,24,8,91.3,5,120,481,Handicrafts,0
38,155055,48,7,90.51,2,279,392,Artisan,0
53,170408,48,8,73.42,8,338,382,Food Stall,0
48,86726,12,7,93.37,1,57,240,Farming,0
45,105488,36,3,91.91,3,138,378,Tailoring,0
64,187214,48,5,96.51,2,334,672,Handicrafts,0
64,168042,12,5,83.99,5,362,790,Handicrafts,0
35,69934,12,4,93.58,7,322,252,Handicrafts,0
49,92785,36,4,89.63,2,149,211,Food Stall,0
63,168827,24,3,74.74,8,379,633,Handicrafts,0
57,27081,48,6,93.75,3,332,304,Tailoring,0
63,91750,24,6,90.16,3,203,627,Retail Shop,0
35,129046,60,1,97.48,2,150,296,Artisan,0
51,57371,12,8,92.17,0,329,267,Farming,0
58,95066,36,4,81.17,9,189,333,Food Stall,0
65,38241,48,6,97.95,2,287,534,Artisan,0
48,116402,12,7,91.52,2,254,594,Retail Shop,0
55,48020,12,1,91.25,2,370,175,Artisan,0
64,188717,36,2,93.86,5,144,647,Retail Shop,0
50,193594,36,8,79.33,10,239,733,Tailoring,0
46,167244,48,7,93.21,0,88,388,Food Stall,0
43,39571,24,1,91.43,1,347,796,Handicrafts,0
47,179985,60,2,90.37,3,150,566,Retail Shop,0
25,173168,36,1,99.77,2,360,630,Artisan,0
32,112732,24,1,65.2,8,232,709,Farming,0
43,36775,36,2,91.73,1,55,786,Farming,0
44,48182,60,1,91.23,2,308,535,Artisan,0
52,165057,60,3,95.03,0,167,211,Handicrafts,0
37,113196,36,5,74.13,9,239,252,Handicrafts,0
